"","Group","Year","Value","Stdev","Type","Scale"
"1","AmLobster",1985,0.152612707565007,0.0341392952635802,"index",1
"2","AmLobster",1986,0.177523020080782,0.0526352985458313,"index",1
"3","AmLobster",1987,0.156878354909538,0.0438629585137794,"index",1
"4","AmLobster",1988,0.267412887981503,0.083265921681038,"index",1
"5","AmLobster",1989,0.340742118620032,0.161893231449762,"index",1
"6","AmLobster",1990,0.166701768710812,0.0358210998563784,"index",1
"7","AmLobster",1991,0.243646972612849,0.0403615035445917,"index",1
"8","AmLobster",1992,0.195399317503622,0.0527349496550841,"index",1
"9","AmLobster",1993,0.150322808370797,0.0313569906714734,"index",1
"10","AmLobster",1994,0.187499509635675,0.0366222876464579,"index",1
"11","AmLobster",1995,0.191907007654577,0.0474429855600766,"index",1
"12","AmLobster",1996,0.229427233401928,0.0549146178041763,"index",1
"13","AmLobster",1997,0.221305228430496,0.0447891422008241,"index",1
"14","AmLobster",1998,0.235649365924615,0.0645114152238453,"index",1
"15","AmLobster",1999,0.300969734944662,0.0586824720711305,"index",1
"16","AmLobster",2000,0.241941589379826,0.0520521386425245,"index",1
"17","AmLobster",2001,0.355141742252859,0.0607686239531317,"index",1
"18","AmLobster",2002,0.479990054518402,0.0882728280492052,"index",1
"19","AmLobster",2003,0.179726599960298,0.038177864594735,"index",1
"20","AmLobster",2004,0.307622952759128,0.07501878589343,"index",1
"21","AmLobster",2005,0.238128954087006,0.047838531571519,"index",1
"22","AmLobster",2006,0.348081806315278,0.0624211107237456,"index",1
"23","AmLobster",2007,0.318836047146125,0.0681277326329836,"index",1
"24","AmLobster",2008,0.546242428616209,0.189281108134409,"index",1
"25","AmLobster",2009,0.646629673607187,0.213508208545399,"index",1
"26","AmLobster",2010,0.407197904142693,0.0983876482288179,"index",1
"27","AmLobster",2011,0.752835057859959,0.174919841039294,"index",1
"28","AmLobster",2012,0.457597781978149,0.0777055032203654,"index",1
"29","AmLobster",2013,0.419719834306362,0.0794681348216096,"index",1
"30","AmLobster",2014,0.430303845875688,0.0724944771141006,"index",1
"31","AmLobster",2015,0.570961492369497,0.191231260524437,"index",1
"32","AmLobster",2016,0.462808210349769,0.087398375461045,"index",1
"33","AmLobster",2017,0.684590154790128,0.168144957014884,"index",1
"34","AmLobster",2018,1.5286213055768,0.92500890161019,"index",1
"35","AmLobster",2019,0.575570252290557,0.120227196915141,"index",1
"36","AmPlaice",1985,0.00317038648146185,0.00189449475675148,"index",1
"37","AmPlaice",1986,0.00345540771236793,0.00283682138510133,"index",1
"38","AmPlaice",1987,0.00527332486890906,0.00318203200727106,"index",1
"39","AmPlaice",1988,0.00966246128719343,0.00469893906872952,"index",1
"40","AmPlaice",1989,0.0269414654282626,0.0155140471115741,"index",1
"41","AmPlaice",1990,0.0126169310490271,0.0102228033686042,"index",1
"42","AmPlaice",1991,0.000807373574124654,0.000807373574124654,"index",1
"43","AmPlaice",1992,0.00468961044399169,0.00373192607929175,"index",1
"44","AmPlaice",1993,0.00778255740951369,0.00698036584955981,"index",1
"45","AmPlaice",1994,0.0115895434439275,0.0100564650444735,"index",1
"46","AmPlaice",1995,0.018216340680415,0.0101551131447417,"index",1
"47","AmPlaice",1996,0.00963958028122125,0.00655052142440555,"index",1
"48","AmPlaice",1997,0.0230870556332264,0.0106684889941845,"index",1
"49","AmPlaice",1998,0.0361786065334016,0.0137255699843644,"index",1
"50","AmPlaice",1999,0.0260598355202497,0.012575070180579,"index",1
"51","AmPlaice",2000,0.0331408923453443,0.0180657711303502,"index",1
"52","AmPlaice",2001,0.0079625440190606,0.00646918054037793,"index",1
"53","AmPlaice",2002,0.0113212302365654,0.00671265652580853,"index",1
"54","AmPlaice",2003,0.149702992286766,0.134328747093598,"index",1
"55","AmPlaice",2004,0.0087039109954296,0.00517845720103619,"index",1
"56","AmPlaice",2005,0.00518251934583244,0.00244794609463541,"index",1
"57","AmPlaice",2006,0.0205929684355416,0.0119805378442964,"index",1
"58","AmPlaice",2007,0.0284442159064602,0.0233080923266677,"index",1
"59","AmPlaice",2008,0.021042498636506,0.0125772471502417,"index",1
"60","AmPlaice",2009,0.0252058562382203,0.0155481943576299,"index",1
"61","AmPlaice",2010,0.0294257846067406,0.0141409082118467,"index",1
"62","AmPlaice",2011,0.000870083106509292,0.000387308274015817,"index",1
"63","AmPlaice",2012,0.00149070770841346,0.000552938258214599,"index",1
"64","AmPlaice",2013,0.000511326328478584,0.000281421630259812,"index",1
"65","AmPlaice",2014,0.00103571354391133,0.00051047087858476,"index",1
"66","AmPlaice",2015,0.0123545684788802,0.00955687125288154,"index",1
"67","AmPlaice",2016,0.00136803985570641,0.00084522601173519,"index",1
"68","AmPlaice",2017,0.000105752817171007,8.5704782682357e-05,"index",1
"69","AmPlaice",2018,0.000474922587939165,0.000337135444263791,"index",1
"70","AmPlaice",2019,0.000712644673237038,0.000494322707097803,"index",1
"71","AtlHalibut",1989,0.0130060684905423,0.011697508572161,"index",1
"72","AtlHalibut",1990,0.00722069141843901,0.00487373969886953,"index",1
"73","AtlHalibut",1997,0.00104563110627718,0.00104563110627718,"index",1
"74","AtlHalibut",1998,0.00436741836458156,0.00436741836458156,"index",1
"75","AtlHalibut",1999,0.00437263917170457,0.0026908681214307,"index",1
"76","AtlHalibut",2001,0.00301677049995139,0.00301677049995139,"index",1
"77","AtlHalibut",2002,0.00121673437821345,0.00121673437821345,"index",1
"78","AtlHalibut",2004,0.000487941491065944,0.00045386111355945,"index",1
"79","AtlHalibut",2005,0.00510719988595923,0.00441836453547941,"index",1
"80","AtlHalibut",2006,0.00305719285520709,0.00305719285520709,"index",1
"81","AtlHalibut",2009,0.00144011920546357,0.00144011920546357,"index",1
"82","AtlHalibut",2010,0.00313066038383146,0.00309381013085654,"index",1
"83","AtlHalibut",2011,0.00201521631391602,0.00201521631391602,"index",1
"84","AtlHalibut",2014,0.0300751336029967,0.0300751336029967,"index",1
"85","AtlHalibut",2015,0.00127313728709126,0.00125763609526365,"index",1
"86","AtlHalibut",2016,0.003327556849205,0.003327556849205,"index",1
"87","AtlHerring",1985,0.0195500984564538,0.00983847415674674,"index",1
"88","AtlHerring",1986,0.23221813358423,0.11397939619833,"index",1
"89","AtlHerring",1987,1.62393426646829,1.39553671349363,"index",1
"90","AtlHerring",1988,5.65393950328689,4.2273697549392,"index",1
"91","AtlHerring",1989,0.397739425052152,0.314710039410712,"index",1
"92","AtlHerring",1990,1.44886192021222,1.20417532944364,"index",1
"93","AtlHerring",1991,0.0841633122276946,0.0624798223059784,"index",1
"94","AtlHerring",1992,3.59717129943892,1.2310489866174,"index",1
"95","AtlHerring",1993,4.70697957715789,3.92355880460026,"index",1
"96","AtlHerring",1994,1.86425630332491,0.984945308253703,"index",1
"97","AtlHerring",1995,7.08959001460248,2.65220396017916,"index",1
"98","AtlHerring",1996,7.28160365278139,4.69893284260235,"index",1
"99","AtlHerring",1997,6.75756871955677,5.25045136385378,"index",1
"100","AtlHerring",1998,2.01642348992179,0.563556096829209,"index",1
"101","AtlHerring",1999,0.997272434410471,0.575582696214353,"index",1
"102","AtlHerring",2000,3.19884366857691,2.26254348901989,"index",1
"103","AtlHerring",2001,0.854687526826624,0.4448483291656,"index",1
"104","AtlHerring",2002,0.133987531166678,0.0681894618957295,"index",1
"105","AtlHerring",2003,4.23613502856437,2.41384337042161,"index",1
"106","AtlHerring",2004,1.47820670549347,0.696186815770759,"index",1
"107","AtlHerring",2005,1.90405376229607,1.29926772563826,"index",1
"108","AtlHerring",2006,0.0306590261970118,0.0142153719271103,"index",1
"109","AtlHerring",2007,2.38084440199358,1.71141889863598,"index",1
"110","AtlHerring",2008,0.570711746396955,0.310928743780138,"index",1
"111","AtlHerring",2009,10.1749607816663,9.63481066709298,"index",1
"112","AtlHerring",2010,3.33278634604727,1.28453985717748,"index",1
"113","AtlHerring",2011,3.08674034860788,2.22795597404404,"index",1
"114","AtlHerring",2012,3.10045531187545,1.33846076767395,"index",1
"115","AtlHerring",2013,0.0473760467702679,0.0196650810871605,"index",1
"116","AtlHerring",2014,1.62761344010932,1.22080255256499,"index",1
"117","AtlHerring",2015,0.6560484601409,0.377320208843045,"index",1
"118","AtlHerring",2016,39.8347187426282,34.9047622958471,"index",1
"119","AtlHerring",2017,3.33252044399659,3.05856899460959,"index",1
"120","AtlHerring",2018,1.58787796023865,1.49684681802998,"index",1
"121","AtlHerring",2019,0.978952185201225,0.480452709022488,"index",1
"122","AtlMackerel",1985,0.0014445551245734,0.000929736400856487,"index",1
"123","AtlMackerel",1986,0.00624057024896141,0.00403556239397404,"index",1
"124","AtlMackerel",1987,0.00194359950297865,0.00126669270523161,"index",1
"125","AtlMackerel",1988,0.00188048624835867,0.000978475135751279,"index",1
"126","AtlMackerel",1989,0.000564654280069666,0.000403439986659052,"index",1
"127","AtlMackerel",1990,0.00350974567431146,0.00127019951538074,"index",1
"128","AtlMackerel",1991,0.205767721422371,0.110745551311719,"index",1
"129","AtlMackerel",1992,0.125819280655633,0.057322137927618,"index",1
"130","AtlMackerel",1993,0.0672665827199333,0.0491935228508422,"index",1
